X, Y, Z, Dose
0, 0, 0, 0
0, 1, 0, 2.886363814624815e-09
0, 2, 0, 2.738857363127067e-09
0, 3, 0, 0
0, 4, 0, 1.278057104592278e-09
0, 5, 0, 1.934691296057167e-09
0, 6, 0, 0
0, 7, 0, 0
0, 8, 0, 0
0, 9, 0, 0
0, 10, 0, 0
0, 11, 0, 0
0, 12, 0, 2.558472878000373e-10
0, 13, 0, 0
0, 14, 0, 0
0, 15, 0, 0
0, 16, 0, 0
0, 17, 0, 0
0, 18, 0, 0
0, 19, 0, 0
0, 20, 0, 0
0, 21, 0, 0
0, 22, 0, 2.170660540201652e-09
0, 23, 0, 1.313227193655564e-09
0, 24, 0, 1.324006571046255e-09
0, 25, 0, 0
0, 26, 0, 0
0, 27, 0, 0
0, 28, 0, 6.76274092281659e-10
0, 29, 0, 3.509852630756427e-09
0, 30, 0, 0
0, 31, 0, 0
0, 32, 0, 0
0, 33, 0, 0
0, 34, 0, 0
0, 35, 0, 0
0, 36, 0, 0
0, 37, 0, 0
0, 38, 0, 0
0, 39, 0, 0
0, 40, 0, 0
0, 41, 0, 0
0, 42, 0, 0
0, 43, 0, 0
0, 44, 0, 0
0, 45, 0, 0
0, 46, 0, 2.381986274890835e-10
0, 47, 0, 1.550790384996503e-09
0, 48, 0, 0
0, 49, 0, 0
0, 50, 0, 0
0, 51, 0, 0
0, 52, 0, 0
0, 53, 0, 0
0, 54, 0, 0
0, 55, 0, 0
0, 56, 0, 0
0, 57, 0, 0
0, 58, 0, 0
0, 59, 0, 6.665360485769156e-10
0, 60, 0, 0
0, 61, 0, 2.952643907150332e-09
0, 62, 0, 1.521074821653201e-09
0, 63, 0, 1.194402021731378e-09
0, 64, 0, 1.365069834946553e-09
0, 65, 0, 0
0, 66, 0, 0
0, 67, 0, 0
0, 68, 0, 0
0, 69, 0, 0
0, 70, 0, 0
0, 71, 0, 0
0, 72, 0, 0
0, 73, 0, 0
0, 74, 0, 0
0, 75, 0, 0
0, 76, 0, 0
0, 77, 0, 2.769813489678086e-09
0, 78, 0, 9.455435323602046e-10
0, 79, 0, 0
0, 80, 0, 0
0, 81, 0, 0
0, 82, 0, 0
0, 83, 0, 6.042549238749473e-10
0, 84, 0, 3.474295295902152e-09
0, 85, 0, 9.407798984284454e-10
0, 86, 0, 0
0, 87, 0, 8.044773180948539e-10
0, 88, 0, 0
0, 89, 0, 0
0, 90, 0, 0
0, 91, 0, 1.891571066447995e-10
0, 92, 0, 1.531625271056214e-09
0, 93, 0, 0
0, 94, 0, 9.285802682335031e-10
0, 95, 0, 1.531868631943212e-09
0, 96, 0, 0
0, 97, 0, 0
0, 98, 0, 1.198977139793556e-09
0, 99, 0, 4.235729100798835e-09
0, 100, 0, 0
0, 101, 0, 0
0, 102, 0, 0
0, 103, 0, 0
0, 104, 0, 0
0, 105, 0, 4.494597749538087e-10
0, 106, 0, 0
0, 107, 0, 0
0, 108, 0, 0
0, 109, 0, 0
0, 110, 0, 0
0, 111, 0, 0
0, 112, 0, 0
0, 113, 0, 0
0, 114, 0, 0
0, 115, 0, 1.916870662199699e-09
0, 116, 0, 1.128877213929513e-09
0, 117, 0, 0
0, 118, 0, 0
0, 119, 0, 4.229149475065697e-09
0, 120, 0, 0
0, 121, 0, 4.245269025204834e-09
0, 122, 0, 3.713053864373705e-09
0, 123, 0, 1.36255440263966e-09
0, 124, 0, 2.533798060255776e-09
0, 125, 0, 3.653801705638671e-09
0, 126, 0, 0
0, 127, 0, 0
0, 128, 0, 0
0, 129, 0, 0
0, 130, 0, 0
0, 131, 0, 0
0, 132, 0, 0
0, 133, 0, 0
0, 134, 0, 0
0, 135, 0, 0
0, 136, 0, 0
0, 137, 0, 0
0, 138, 0, 3.143290516760544e-09
0, 139, 0, 0
0, 140, 0, 0
0, 141, 0, 0
0, 142, 0, 2.024513001686046e-09
0, 143, 0, 5.552437953859624e-10
0, 144, 0, 0
0, 145, 0, 0
0, 146, 0, 1.305258789940922e-09
0, 147, 0, 0
0, 148, 0, 0
0, 149, 0, 0
0, 150, 0, 5.3807895916691e-09
0, 151, 0, 5.738834962798478e-10
0, 152, 0, 2.911901553215301e-10
0, 153, 0, 0
0, 154, 0, 0
0, 155, 0, 0
0, 156, 0, 1.995637405327599e-10
0, 157, 0, 0
0, 158, 0, 0
0, 159, 0, 0
0, 160, 0, 0
0, 161, 0, 2.884674055181335e-09
0, 162, 0, 3.934499837043859e-09
0, 163, 0, 0
0, 164, 0, 5.12873521429924e-10
0, 165, 0, 0
0, 166, 0, 0
0, 167, 0, 0
0, 168, 0, 0
0, 169, 0, 1.129101812047395e-09
0, 170, 0, 0
0, 171, 0, 0
0, 172, 0, 0
0, 173, 0, 0
0, 174, 0, 0
0, 175, 0, 0
0, 176, 0, 4.977182554988246e-10
0, 177, 0, 0
0, 178, 0, 0
0, 179, 0, 0
0, 180, 0, 1.693900908428247e-09
0, 181, 0, 1.171731711657742e-09
0, 182, 0, 1.677608496564176e-09
0, 183, 0, 0
0, 184, 0, 0
0, 185, 0, 0
0, 186, 0, 0
0, 187, 0, 0
0, 188, 0, 1.957830841892161e-10
0, 189, 0, 9.649907539710512e-10
0, 190, 0, 2.419755729121675e-09
0, 191, 0, 0
0, 192, 0, 3.214700505793644e-09
0, 193, 0, 9.280512469622693e-10
0, 194, 0, 0
