X, Y, Z, Dose
0, 0, 0, 0
0, 1, 0, 0
0, 2, 0, 0
0, 3, 0, 0
0, 4, 0, 0
0, 5, 0, 5.956709014931505e-10
0, 6, 0, 3.966106554287308e-09
0, 7, 0, 1.694635820559398e-10
0, 8, 0, 0
0, 9, 0, 0
0, 10, 0, 0
0, 11, 0, 5.288839505235288e-11
0, 12, 0, 2.699017009888394e-09
0, 13, 0, 1.75418135572869e-09
0, 14, 0, 0
0, 15, 0, 2.154462830361581e-09
0, 16, 0, 6.165541854841194e-09
0, 17, 0, 0
0, 18, 0, 2.228450979302465e-09
0, 19, 0, 0
0, 20, 0, 0
0, 21, 0, 0
0, 22, 0, 2.202101834214432e-09
0, 23, 0, 0
0, 24, 0, 7.234067123107479e-09
0, 25, 0, 4.577038303921199e-09
0, 26, 0, 5.107100520262975e-09
0, 27, 0, 1.53497037302941e-09
0, 28, 0, 1.461876036890075e-10
0, 29, 0, 0
0, 30, 0, 0
0, 31, 0, 2.04240602208472e-09
0, 32, 0, 2.096489648550914e-09
0, 33, 0, 0
0, 34, 0, 0
0, 35, 0, 0
0, 36, 0, 0
0, 37, 0, 0
0, 38, 0, 0
0, 39, 0, 0
0, 40, 0, 0
0, 41, 0, 0
0, 42, 0, 0
0, 43, 0, 0
0, 44, 0, 0
0, 45, 0, 6.800445762067397e-10
0, 46, 0, 2.253328412749056e-09
0, 47, 0, 5.898536103998708e-10
0, 48, 0, 0
0, 49, 0, 3.146828908562327e-10
0, 50, 0, 1.616521583258645e-09
0, 51, 0, 0
0, 52, 0, 0
0, 53, 0, 0
0, 54, 0, 0
0, 55, 0, 0
0, 56, 0, 1.637531776843559e-09
0, 57, 0, 7.950264752087932e-11
0, 58, 0, 0
0, 59, 0, 0
0, 60, 0, 0
0, 61, 0, 0
0, 62, 0, 0
0, 63, 0, 0
0, 64, 0, 0
0, 65, 0, 0
0, 66, 0, 0
0, 67, 0, 0
0, 68, 0, 0
0, 69, 0, 0
0, 70, 0, 1.513409952913491e-09
0, 71, 0, 1.06484521200656e-09
0, 72, 0, 7.363091802936594e-10
0, 73, 0, 0
0, 74, 0, 0
0, 75, 0, 0
0, 76, 0, 3.391754585524431e-11
0, 77, 0, 0
0, 78, 0, 0
0, 79, 0, 8.424874131662818e-09
0, 80, 0, 0
0, 81, 0, 3.424470262913815e-09
0, 82, 0, 1.40715739060937e-09
0, 83, 0, 0
0, 84, 0, 0
0, 85, 0, 0
0, 86, 0, 0
0, 87, 0, 0
0, 88, 0, 2.879018135004685e-09
0, 89, 0, 5.670264702217764e-09
0, 90, 0, 0
0, 91, 0, 1.497183488297082e-09
0, 92, 0, 2.061944920361825e-10
0, 93, 0, 0
0, 94, 0, 0
0, 95, 0, 0
0, 96, 0, 0
0, 97, 0, 0
0, 98, 0, 0
0, 99, 0, 0
0, 100, 0, 5.466996633174404e-09
0, 101, 0, 0
0, 102, 0, 0
0, 103, 0, 0
0, 104, 0, 0
0, 105, 0, 0
0, 106, 0, 0
0, 107, 0, 0
0, 108, 0, 0
0, 109, 0, 2.73389588745232e-10
0, 110, 0, 0
0, 111, 0, 0
0, 112, 0, 0
0, 113, 0, 0
0, 114, 0, 0
0, 115, 0, 0
0, 116, 0, 0
0, 117, 0, 0
0, 118, 0, 0
0, 119, 0, 0
0, 120, 0, 0
0, 121, 0, 0
0, 122, 0, 0
0, 123, 0, 0
0, 124, 0, 0
0, 125, 0, 0
0, 126, 0, 0
0, 127, 0, 0
0, 128, 0, 0
0, 129, 0, 0
0, 130, 0, 0
0, 131, 0, 0
0, 132, 0, 0
0, 133, 0, 0
0, 134, 0, 0
0, 135, 0, 0
0, 136, 0, 0
0, 137, 0, 0
0, 138, 0, 1.200541444035252e-09
0, 139, 0, 3.369462764357678e-10
0, 140, 0, 1.877813682327201e-09
0, 141, 0, 9.945035017722148e-09
0, 142, 0, 4.288165378341091e-10
0, 143, 0, 0
0, 144, 0, 9.337663281483444e-11
0, 145, 0, 0
0, 146, 0, 0
0, 147, 0, 0
0, 148, 0, 3.707987694667736e-09
0, 149, 0, 1.40732780984365e-09
0, 150, 0, 0
0, 151, 0, 0
0, 152, 0, 0
0, 153, 0, 0
0, 154, 0, 0
0, 155, 0, 0
0, 156, 0, 0
0, 157, 0, 0
0, 158, 0, 0
0, 159, 0, 9.589360416839554e-10
0, 160, 0, 5.105625699997063e-09
0, 161, 0, 5.97377747268979e-09
0, 162, 0, 2.797541531762704e-09
0, 163, 0, 6.359436865999157e-10
0, 164, 0, 0
0, 165, 0, 2.888812744572533e-09
0, 166, 0, 0
0, 167, 0, 0
0, 168, 0, 4.730456026891261e-09
0, 169, 0, 0
0, 170, 0, 1.992123799254841e-09
0, 171, 0, 2.331578263792267e-09
0, 172, 0, 5.005202363683736e-10
0, 173, 0, 6.58385568286235e-09
0, 174, 0, 5.146538750722129e-09
0, 175, 0, 0
0, 176, 0, 0
0, 177, 0, 0
0, 178, 0, 0
0, 179, 0, 0
0, 180, 0, 0
0, 181, 0, 6.522219431204235e-10
0, 182, 0, 0
0, 183, 0, 0
0, 184, 0, 0
0, 185, 0, 0
0, 186, 0, 0
0, 187, 0, 0
0, 188, 0, 0
0, 189, 0, 0
0, 190, 0, 0
0, 191, 0, 0
0, 192, 0, 0
0, 193, 0, 0
0, 194, 0, 0
0, 195, 0, 2.510149588186295e-10
0, 196, 0, 0
0, 197, 0, 1.561629381363616e-09
0, 198, 0, 8.166655129926426e-10
0, 199, 0, 0
0, 200, 0, 0
0, 201, 0, 0
0, 202, 0, 0
0, 203, 0, 0
0, 204, 0, 0
0, 205, 0, 0
0, 206, 0, 0
0, 207, 0, 1.447896136319571e-09
1, 0, 0, 0
1, 1, 0, 0
1, 2, 0, 0
1, 3, 0, 0
1, 4, 0, 0
1, 5, 0, 0
1, 6, 0, 4.090770389097997e-09
1, 7, 0, 1.728591714211802e-09
1, 8, 0, 3.276314552991266e-09
1, 9, 0, 4.170841449990803e-10
1, 10, 0, 0
1, 11, 0, 1.651353720433235e-09
1, 12, 0, 7.747046337769348e-10
1, 13, 0, 2.764230844221061e-09
1, 14, 0, 1.623701173514291e-09
1, 15, 0, 1.153080630977854e-09
1, 16, 0, 4.720512425393508e-09
1, 17, 0, 3.753318100763181e-09
1, 18, 0, 0
1, 19, 0, 0
1, 20, 0, 0
1, 21, 0, 0
1, 22, 0, 0
1, 23, 0, 0
1, 24, 0, 3.709744067492693e-09
1, 25, 0, 3.022265104846156e-09
1, 26, 0, 1.746094380195018e-09
1, 27, 0, 0
1, 28, 0, 0
1, 29, 0, 0
1, 30, 0, 4.001632358807683e-09
1, 31, 0, 7.705691196235875e-09
1, 32, 0, 0
1, 33, 0, 5.707685366007631e-11
1, 34, 0, 0
1, 35, 0, 0
1, 36, 0, 4.193682734410231e-09
1, 37, 0, 0
1, 38, 0, 0
1, 39, 0, 0
1, 40, 0, 0
1, 41, 0, 0
1, 42, 0, 8.775311588493651e-10
1, 43, 0, 6.133578089873026e-09
1, 44, 0, 0
1, 45, 0, 0
1, 46, 0, 0
1, 47, 0, 0
1, 48, 0, 0
1, 49, 0, 0
1, 50, 0, 1.707375352211216e-09
1, 51, 0, 0
1, 52, 0, 0
1, 53, 0, 0
1, 54, 0, 0
1, 55, 0, 3.174652485338214e-10
1, 56, 0, 4.797599650885331e-09
1, 57, 0, 8.29229840348944e-09
1, 58, 0, 0
1, 59, 0, 0
1, 60, 0, 0
1, 61, 0, 0
1, 62, 0, 0
1, 63, 0, 0
1, 64, 0, 2.806175070091399e-09
1, 65, 0, 5.365943689383812e-09
1, 66, 0, 0
