X, Y, Z, Dose
0, 0, 0, 2.033173851501147e-09
0, 1, 0, 0
0, 2, 0, 0
0, 3, 0, 0
0, 4, 0, 0
0, 5, 0, 0
0, 6, 0, 4.397004094158774e-09
0, 7, 0, 3.407265580790408e-09
0, 8, 0, 2.596078463312779e-09
0, 9, 0, 0
0, 10, 0, 0
0, 11, 0, 0
0, 12, 0, 1.708501451425093e-09
0, 13, 0, 7.030607207525463e-10
0, 14, 0, 4.488936333757465e-09
0, 15, 0, 1.42471163755431e-08
0, 16, 0, 0
0, 17, 0, 0
0, 18, 0, 1.693074902497926e-09
0, 19, 0, 0
0, 20, 0, 0
0, 21, 0, 0
0, 22, 0, 0
0, 23, 0, 0
0, 24, 0, 0
0, 25, 0, 1.504282143294233e-09
0, 26, 0, 9.504266262894134e-10
0, 27, 0, 1.44802933532695e-10
0, 28, 0, 1.720880549171966e-09
0, 29, 0, 6.991798806588179e-10
0, 30, 0, 9.130748934715882e-10
0, 31, 0, 1.837524465919671e-09
0, 32, 0, 2.642287943999122e-09
0, 33, 0, 9.398883893396714e-10
0, 34, 0, 0
0, 35, 0, 0
0, 36, 0, 8.52022563613275e-10
0, 37, 0, 3.179686236531865e-10
0, 38, 0, 1.161602702914877e-09
0, 39, 0, 5.868228125649466e-10
0, 40, 0, 2.970745316410728e-10
0, 41, 0, 7.066460749882708e-09
0, 42, 0, 1.244353620144523e-09
0, 43, 0, 2.284632261151387e-09
0, 44, 0, 0
0, 45, 0, 0
0, 46, 0, 0
0, 47, 0, 2.910508944964363e-09
0, 48, 0, 2.075624783159924e-09
0, 49, 0, 0
0, 50, 0, 0
0, 51, 0, 3.634606171587507e-09
0, 52, 0, 2.706694202103677e-09
0, 53, 0, 0
0, 54, 0, 0
0, 55, 0, 0
0, 56, 0, 1.86682691527551e-09
0, 57, 0, 0
0, 58, 0, 1.411421757246956e-09
0, 59, 0, 4.063126279874041e-09
0, 60, 0, 4.033352762888853e-09
0, 61, 0, 1.432049617777764e-10
0, 62, 0, 2.539619181618491e-09
0, 63, 0, 1.317209274986908e-08
0, 64, 0, 5.43960376742092e-10
0, 65, 0, 0
0, 66, 0, 1.265203608546983e-09
0, 67, 0, 0
0, 68, 0, 0
0, 69, 0, 0
0, 70, 0, 1.746136346625349e-09
0, 71, 0, 1.584214204264356e-09
0, 72, 0, 1.640296010130271e-09
0, 73, 0, 0
0, 74, 0, 1.116864031813769e-10
0, 75, 0, 2.538478760527596e-09
0, 76, 0, 4.676476539344776e-09
0, 77, 0, 1.768486246334078e-09
0, 78, 0, 3.339704512939079e-09
0, 79, 0, 6.855211065470712e-09
0, 80, 0, 5.738098440843942e-09
0, 81, 0, 1.284339412599422e-09
0, 82, 0, 0
0, 83, 0, 0
0, 84, 0, 0
0, 85, 0, 0
0, 86, 0, 0
0, 87, 0, 0
0, 88, 0, 1.006466923691995e-10
0, 89, 0, 2.068678561784054e-09
0, 90, 0, 1.666511789677472e-10
0, 91, 0, 0
0, 92, 0, 1.06552644485447e-09
0, 93, 0, 1.711657815484102e-09
0, 94, 0, 6.954330999953129e-10
0, 95, 0, 0
0, 96, 0, 1.378042568944693e-09
0, 97, 0, 4.830616351370054e-09
0, 98, 0, 3.872097920076811e-10
0, 99, 0, 0
0, 100, 0, 0
0, 101, 0, 2.06179029405007e-09
0, 102, 0, 1.000064701189851e-11
0, 103, 0, 1.253446790805413e-09
0, 104, 0, 1.745456224000463e-09
0, 105, 0, 1.61691493527627e-09
0, 106, 0, 1.645369174241296e-09
0, 107, 0, 1.490006451554393e-09
0, 108, 0, 3.520265190459781e-10
0, 109, 0, 0
0, 110, 0, 0
0, 111, 0, 1.578514208233628e-09
0, 112, 0, 0
0, 113, 0, 0
0, 114, 0, 1.676784822102206e-09
0, 115, 0, 4.332336267509618e-09
0, 116, 0, 0
0, 117, 0, 0
0, 118, 0, 0
0, 119, 0, 0
0, 120, 0, 0
0, 121, 0, 3.918343871589514e-09
0, 122, 0, 0
0, 123, 0, 0
0, 124, 0, 4.031337486054554e-10
0, 125, 0, 1.668807980692577e-09
0, 126, 0, 8.206259005660854e-10
0, 127, 0, 1.975411612065159e-09
0, 128, 0, 1.454716236359843e-09
0, 129, 0, 1.737658017475496e-09
0, 130, 0, 1.37578144432382e-08
0, 131, 0, 5.19288878564339e-09
0, 132, 0, 3.486046784573205e-09
0, 133, 0, 0
0, 134, 0, 3.213039612148805e-09
0, 135, 0, 1.44072354046898e-09
0, 136, 0, 1.418542838749204e-09
0, 137, 0, 0
0, 138, 0, 0
0, 139, 0, 0
0, 140, 0, 3.724556441042637e-09
0, 141, 0, 0
0, 142, 0, 0
0, 143, 0, 0
0, 144, 0, 0
0, 145, 0, 0
0, 146, 0, 0
0, 147, 0, 0
0, 148, 0, 4.091260386029916e-10
0, 149, 0, 0
0, 150, 0, 0
0, 151, 0, 0
0, 152, 0, 2.697980505672604e-09
0, 153, 0, 0
0, 154, 0, 0
0, 155, 0, 1.436555097100722e-09
0, 156, 0, 7.743349961231161e-09
0, 157, 0, 0
0, 158, 0, 0
0, 159, 0, 1.695919737976226e-09
0, 160, 0, 1.288606665816872e-09
0, 161, 0, 0
0, 162, 0, 0
0, 163, 0, 1.202055521787315e-08
0, 164, 0, 1.076360689467037e-08
0, 165, 0, 9.433327008423475e-09
0, 166, 0, 9.28828611246324e-11
0, 167, 0, 2.921132447042396e-09
0, 168, 0, 0
0, 169, 0, 8.924087024908545e-10
0, 170, 0, 0
0, 171, 0, 5.345735520911887e-10
0, 172, 0, 4.065603853575794e-09
0, 173, 0, 4.579042478525253e-09
0, 174, 0, 4.962417587961454e-09
0, 175, 0, 9.700334979712011e-10
0, 176, 0, 1.677882832673561e-10
0, 177, 0, 1.675507954601585e-09
0, 178, 0, 0
0, 179, 0, 1.391417425722352e-09
0, 180, 0, 0
0, 181, 0, 3.996881048351497e-09
0, 182, 0, 0
0, 183, 0, 0
0, 184, 0, 6.684109932209026e-10
0, 185, 0, 3.942958404223873e-09
0, 186, 0, 8.047469357563841e-10
0, 187, 0, 3.780592727764542e-09
0, 188, 0, 1.938857518979376e-09
0, 189, 0, 4.961377420009683e-10
0, 190, 0, 2.015566158419801e-09
0, 191, 0, 1.094825385905551e-08
0, 192, 0, 8.088877123668681e-09
0, 193, 0, 5.85331827451796e-09
0, 194, 0, 2.718211211671928e-09
0, 195, 0, 0
0, 196, 0, 0
